uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
27,1,feminino,12,4,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,
32,1,feminino,10,1,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,
17,4,masculino,47,4,2,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,1108.0,1.0,2.0,2.0,800.0,800.0
21,4,masculino,16,4,6,1.0,medio_inc,2.0,2.0,6.0,,,,,,,,,,,,,
17,4,masculino,1,4,5,,,,,,,,,,,,,,,,,,
26,2,feminino,15,1,4,1.0,fundamental,2.0,2.0,2.0,,,,,,,,,,,,,
43,4,masculino,49,1,1,2.0,fundamental_inc,1.0,,,,1.0,mec_maq_agric_ind,7233.0,7.0,5.0,9.0,33001.0,2.0,1.0,3.0,300.0,0.0
21,4,masculino,90,4,2,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
32,4,feminino,6,4,7,1.0,sem_instrucao,,,,,,,,,,,,,,,,
35,4,feminino,2,4,4,,,,,,,,,,,,,,,,,,
42,4,masculino,57,1,6,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
43,4,feminino,7,1,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,
26,2,masculino,74,4,2,2.0,medio,2.0,2.0,4.0,,,,,,,,,,,,,
50,4,masculino,37,1,3,2.0,superior_inc,1.0,,,,1.0,mecanico,7231.0,7.0,1.0,1.0,45020.0,4.0,1.0,3.0,1405.0,1405.0
41,4,masculino,62,1,3,2.0,medio,1.0,,,,1.0,comerciante_loja,5221.0,5.0,5.0,9.0,56011.0,6.0,1.0,4.0,950.0,950.0
28,4,masculino,7,4,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,
31,4,masculino,23,4,4,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
27,4,feminino,55,1,2,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,
21,4,masculino,48,4,4,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,
29,4,masculino,79,2,1,2.0,medio,2.0,2.0,4.0,,,,,,,,,,,,,
21,4,masculino,7,4,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,
42,4,masculino,50,1,4,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,1106.0,1.0,1.0,5.0,1500.0,1500.0
29,1,masculino,49,4,9,2.0,medio,1.0,,,,1.0,soldador_oxicortador,7212.0,7.0,5.0,9.0,25001.0,2.0,2.0,3.0,150.0,100.0
21,1,masculino,30,2,2,2.0,fundamental_inc,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,41000.0,3.0,2.0,3.0,500.0,500.0
42,4,feminino,41,1,3,2.0,fundamental_inc,1.0,,,,1.0,op_maq_costura,8153.0,8.0,1.0,1.0,14001.0,2.0,1.0,3.0,1200.0,1200.0
42,4,feminino,1,1,3,,,,,,,,,,,,,,,,,,
11,4,masculino,24,4,3,2.0,fundamental_inc,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,1201.0,1.0,1.0,3.0,1000.0,1000.0
27,4,feminino,21,4,5,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,
21,4,feminino,33,4,5,2.0,fundamental,2.0,2.0,1.0,,,,,,,,,,,,,
43,4,masculino,8,1,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,
15,1,masculino,35,2,3,2.0,medio,1.0,,,,1.0,comerciante_loja,5221.0,5.0,5.0,9.0,48030.0,4.0,1.0,2.0,300.0,300.0
12,4,feminino,21,4,6,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,
21,4,masculino,29,1,4,2.0,superior,1.0,,,,1.0,geren_restaurante,1412.0,1.0,1.0,1.0,56011.0,6.0,1.0,4.0,1500.0,1500.0
51,4,feminino,37,4,6,2.0,medio,1.0,,,,1.0,cuid_crianca,5311.0,5.0,2.0,4.0,97000.0,11.0,2.0,2.0,500.0,500.0
12,4,feminino,58,4,2,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,
35,4,masculino,61,1,1,2.0,medio,2.0,2.0,4.0,,,,,,,,,,,,,
26,4,masculino,34,1,3,2.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,
14,1,masculino,3,1,3,,,,,,,,,,,,,,,,,,
12,1,feminino,3,4,3,,,,,,,,,,,,,,,,,,
15,1,masculino,20,4,2,1.0,fundamental_inc,1.0,,,,1.0,padeiro_confeit,7512.0,7.0,1.0,2.0,48030.0,4.0,2.0,3.0,400.0,400.0
35,4,masculino,67,1,1,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,
21,4,feminino,25,4,8,2.0,medio_inc,2.0,2.0,6.0,,,,,,,,,,,,,
35,2,feminino,14,1,4,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,
43,2,feminino,25,1,8,2.0,medio,2.0,2.0,2.0,,,,,,,,,,,,,
35,4,masculino,75,1,2,2.0,superior,2.0,2.0,4.0,,,,,,,,,,,,,
33,4,feminino,47,2,2,2.0,medio_inc,1.0,,,,1.0,classif_residuo,9612.0,9.0,5.0,9.0,48078.0,4.0,1.0,5.0,950.0,950.0
43,4,masculino,48,1,3,2.0,medio,1.0,,,,1.0,comerciante_loja,5221.0,5.0,4.0,8.0,48050.0,4.0,2.0,3.0,5000.0,5000.0
15,4,masculino,33,4,4,2.0,fundamental_inc,1.0,,,,1.0,pescador,6225.0,6.0,5.0,9.0,3001.0,1.0,2.0,2.0,300.0,300.0
31,1,masculino,36,4,4,2.0,superior,1.0,,,,1.0,comerciante_loja,5221.0,5.0,5.0,9.0,48076.0,4.0,1.0,4.0,2000.0,2000.0
35,2,feminino,81,1,1,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,
51,4,masculino,59,4,2,2.0,fundamental_inc,1.0,,,,1.0,avicultor,6122.0,6.0,5.0,9.0,1205.0,1.0,2.0,3.0,800.0,800.0
24,4,feminino,41,4,3,2.0,medio,1.0,,,1.0,1.0,trab_limp_interior_edif_esc_hotel,9112.0,9.0,3.0,7.0,85012.0,9.0,1.0,2.0,937.0,937.0
29,1,feminino,52,4,2,2.0,fundamental,2.0,2.0,1.0,,,,,,,,,,,,,
51,4,feminino,71,4,1,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
32,2,feminino,39,1,5,2.0,medio,1.0,,,,1.0,escriturario_geral,4110.0,4.0,1.0,1.0,81011.0,7.0,1.0,3.0,1300.0,1300.0
33,4,feminino,11,4,6,1.0,fundamental_inc,,,,,,,,,,,,,,,,
33,1,masculino,23,1,3,2.0,superior,1.0,,,,1.0,contador,2411.0,2.0,1.0,1.0,69000.0,7.0,1.0,2.0,1500.0,800.0
17,4,masculino,49,4,3,2.0,medio,1.0,,,,1.0,escriturario_geral,4110.0,4.0,3.0,6.0,84012.0,8.0,2.0,3.0,932.0,932.0
17,4,masculino,53,1,1,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,
31,4,feminino,78,1,2,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,
31,4,masculino,3,4,4,,,,,,,,,,,,,,,,,,
31,4,feminino,33,2,3,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,
14,1,masculino,2,4,4,,,,,,,,,,,,,,,,,,
33,2,feminino,37,1,4,2.0,medio_inc,2.0,2.0,3.0,,,,,,,,,,,,,
43,4,feminino,46,2,3,2.0,fundamental_inc,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,1201.0,1.0,1.0,2.0,500.0,500.0
21,4,feminino,33,2,4,2.0,medio,1.0,,,,1.0,cabeleireiro,5141.0,5.0,5.0,9.0,96020.0,10.0,1.0,2.0,937.0,937.0
53,1,masculino,6,4,5,1.0,sem_instrucao,,,,,,,,,,,,,,,,
21,4,masculino,49,4,10,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
35,4,masculino,63,1,3,2.0,fundamental,1.0,,,2.0,1.0,mec_ajust_eletric,7412.0,7.0,3.0,5.0,84013.0,8.0,1.0,4.0,1383.0,1383.0
12,4,masculino,11,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
27,1,feminino,75,4,1,2.0,superior_inc,2.0,2.0,4.0,,,,,,,,,,,,,
29,4,masculino,50,4,4,2.0,fundamental_inc,1.0,,,,1.0,cond_motocicleta,8321.0,8.0,5.0,9.0,49030.0,5.0,2.0,5.0,200.0,150.0
12,1,masculino,6,1,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,
26,4,masculino,22,4,3,2.0,fundamental_inc,1.0,,,,1.0,trab_element_agricult,9211.0,9.0,1.0,1.0,1105.0,1.0,1.0,4.0,1200.0,1200.0
27,4,masculino,66,4,3,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,
15,4,feminino,84,1,1,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
41,4,feminino,48,4,4,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,
23,4,feminino,66,4,1,2.0,sem_instrucao,2.0,2.0,5.0,,,,,,,,,,,,,
