uf;ano;taxa
ES;2011;105.105
GO;2011;72.079
PA;2011;77.236
RN;2011;65.947
SC;2011;22.933
PE;2011;79.341
RS;2011;38.4
RS;2012;43.178
AL;2012;138.666
ES;2012;100.444
AP;2012;76.454
AM;2012;69.099
MG;2012;48.052
MT;2012;61.954
SE;2012;78.386
DF;2012;68.261
SP;2012;26.376
CE;2012;94.771
PI;2012;30.193
PB;2012;86.593
MS;2012;42.883
RO;2012;49.801
TO;2012;44.728
PR;2012;68.097
RN;2012;71.143
RJ;2012;59.961
PA;2012;77.691
GO;2012;89.962
PE;2012;74.125
BA;2012;91.854
RR;2012;50.185
AC;2012;45.474
MA;2012;48.18
SC;2012;23.738
RJ;2013;69.761
CE;2013;111.704
PR;2013;55.573
AP;2013;68.599
RN;2013;97.332
RR;2013;54.229
SE;2013;86.032
AM;2013;59.129
RS;2013;40.665
AL;2013;147.78
PA;2013;78.257
SC;2013;21.201
SP;2013;23.841
TO;2013;36.038
PI;2013;39.046
BA;2013;83.824
DF;2013;59.236
AC;2013;53.774
ES;2013;99.348
PE;2013;70.937
GO;2013;93.419
PB;2013;87.319
MS;2013;39.141
MA;2013;62.043
MG;2013;50.168
RO;2013;43.187
MT;2013;62.959
AC;2014;49.502
PE;2014;78.506
GO;2014;91.283
BA;2014;90.696
TO;2014;45.403
PB;2014;86.014
SP;2014;25.806
PI;2014;47.264
SC;2014;23.061
PA;2014;79.522
AL;2014;140.494
MA;2014;69.914
RS;2014;50.433
PR;2014;53.456
MS;2014;47.651
AM;2014;60.111
SE;2014;103.016
RJ;2014;78.427
MG;2014;50.201
MT;2014;74.153
RR;2014;38.303
RO;2014;46.723
AP;2014;74.008
RN;2014;110.913
ES;2014;96.756
DF;2014;57.038
CE;2014;117.315
PB;2015;82.8527772190886
BA;2015;92.1687151049219
CE;2015;101.865341502518
PI;2015;39.96690545268
AL;2015;118.908759914259
SC;2015;25.3513630085759
TO;2015;58.5912069788638
DF;2015;47.5790721831819
PE;2015;89.7795060577077
MA;2015;67.2847370167757
RO;2015;53.4204434510835
RJ;2015;71.4928991315723
ES;2015;83.8207730093071
RS;2015;53.5671443551744
GO;2015;93.8200533695779
RR;2015;51.8528993851728
RN;2015;104.274707775406
AC;2015;46.1826722613675
MG;2015;46.7950598742594
SP;2015;21.9461586320648
MS;2015;39.2103277626943
AM;2015;70.9237889258947
MT;2015;61.9090697372317
AP;2015;73.7278593004343
PA;2015;84.2309337233945
SE;2015;118.177166718933
PR;2015;53.6626882343735
